10.109.99.75,20/Oct/2012:06:37:57+0000,Episode%2B7_%2BA%2BShocking%2BOccurrence.mp3,-,24391117,E67717521843DFB8
10.15.128.6,20/Oct/2012:06:40:24+0000,Episode%2B7_%2BA%2BShocking%2BOccurrence.mp3,748,-,8C504734C134851D
10.15.128.6,20/Oct/2012:06:40:33+0000,DO-007.mp3,-,-,936B8D1A35FCBDD7
10.15.128.6,20/Oct/2012:06:40:34+0000,Episode%2B7_%2BA%2BShocking%2BOccurrence.mp3,-,24391117,919327A5F6B18555
10.186.158.41,20/Oct/2012:06:40:13+0000,DO-007.mp3,-,23784721,7E2D7D61081A27C5
10.186.158.41,20/Oct/2012:06:40:25+0000,DO-007.mp3,234,24391117,D48FEB91A07A7BA4
10.186.158.41,20/Oct/2012:06:40:25+0000,Episode%2B7_%2BA%2BShocking%2BOccurrence.mp3,-,24391117,C8837D021E0B6B64
10.194.64.24,20/Oct/2012:06:20:38+0000,-,108,-,2D67143E9FC4AC01
10.194.64.24,20/Oct/2012:06:20:38+0000,-,6749,-,400962471A43727A
10.194.64.24,20/Oct/2012:06:38:29+0000,Episode%2B7_%2BA%2BShocking%2BOccurrence.mp3,-,-,F0CDB9A1C0621CC7
10.217.37.15,20/Oct/2012:06:35:30+0000,Episode%2B7_%2BA%2BShocking%2BOccurence.mp3,-,-,05B25FB7FA663986
10.248.136.44,20/Oct/2012:06:40:18+0000,Episode%2B7_%2BA%2BShocking%2BOccurence.mp3,-,24391117,6978423E123C5EDD
10.87.134.98,20/Oct/2012:06:34:57+0000,Episode%2B7_%2BA%2BShocking%2BOccurence.mp3,-,24391117,1153DB7B6B94F8EF
10.87.166.136,20/Oct/2012:06:23:05+0000,DO-007.mp3,-,23784721,F6CE7B29B0EEA46E
107.20.158.224,14/Oct/2012:21:04:01+0000,DO-001.mp3,-,25683092,BBFBB0B421733804
107.20.158.224,14/Oct/2012:21:04:01+0000,DO-002.mp3,-,31047807,4B75AC3A1B30ACE9
107.20.158.224,15/Oct/2012:00:59:22+0000,DO-003.mp3,-,45230883,A80BB1C6008B6AA1
107.20.158.224,15/Oct/2012:05:27:13+0000,DO-004.mp3,-,40318243,4FF2AE0F4137B278
107.20.158.224,15/Oct/2012:07:49:08+0000,DO-005.mp3,-,23449999,88F84706BFD58AA7
107.20.158.224,15/Oct/2012:12:01:47+0000,DO-006.mp3,-,30293504,CAE27AA7B69DC306
